number,state,values,params,params,params,params,params,params,params,duration,datetime_start,datetime_complete
15,COMPLETE,0.2770003466015206,1,128,0.14216713088446312,32,256,0.00012009725384920296,5.46986252396764e-06,0 days 00:00:24.882532,2025-06-02 07:13:15.228264,2025-06-02 07:13:40.110796
16,COMPLETE,0.34635926498647335,2,128,0.3260017738153584,16,512,0.0015100066962952642,3.204428317862594e-05,0 days 00:00:17.021436,2025-06-02 07:13:40.111208,2025-06-02 07:13:57.132644
17,COMPLETE,0.3393547569165998,1,256,0.13748581516830038,64,512,0.013581159031109418,2.3292238482421402e-06,0 days 00:00:17.166824,2025-06-02 07:13:57.133114,2025-06-02 07:14:14.299938
18,COMPLETE,0.3408610954263128,2,256,0.2448052054410154,128,1024,0.0032902791864944485,3.095881333344639e-05,0 days 00:00:13.008737,2025-06-02 07:14:14.300314,2025-06-02 07:14:27.309051
19,COMPLETE,0.402312694345509,3,128,0.10027792571799715,32,256,0.008346111817953888,3.9063290667352555e-06,0 days 00:00:24.109828,2025-06-02 07:14:27.309637,2025-06-02 07:14:51.419465
20,COMPLETE,0.33620051916478466,3,128,0.15697094569795872,32,256,0.009234442470872092,2.7613539657730257e-06,0 days 00:00:15.803633,2025-06-02 07:14:51.419949,2025-06-02 07:15:07.223582
21,COMPLETE,0.3403884807427111,3,128,0.11044835412731588,32,256,0.049677462902722166,5.48481771517225e-06,0 days 00:00:25.242550,2025-06-02 07:15:07.224060,2025-06-02 07:15:32.466610
22,COMPLETE,0.37417803808455585,3,128,0.10091061114586207,32,256,0.001171855155553934,1.0490610460474218e-06,0 days 00:00:24.657971,2025-06-02 07:15:32.467069,2025-06-02 07:15:57.125040
23,COMPLETE,0.3408118772794352,4,128,0.12874535027318504,32,256,0.0026167039640714335,1.0284172670955549e-05,0 days 00:00:14.688307,2025-06-02 07:15:57.125444,2025-06-02 07:16:11.813751
24,COMPLETE,0.3621056179592765,2,128,0.1613401987127961,32,512,0.006223561746011874,4.164019046661169e-06,0 days 00:00:17.916007,2025-06-02 07:16:11.814174,2025-06-02 07:16:29.730181
25,COMPLETE,0.34076617940200915,3,128,0.12327488226716987,128,256,0.00031382584216717996,1.77257904869848e-05,0 days 00:00:24.876319,2025-06-02 07:16:29.730521,2025-06-02 07:16:54.606840
26,COMPLETE,0.3451316679748678,2,256,0.20672646980632942,64,512,0.00958532832172354,1.8439341915344512e-06,0 days 00:00:16.649713,2025-06-02 07:16:54.607209,2025-06-02 07:17:11.256922
27,COMPLETE,0.39719360565153694,1,128,0.1537897306234361,16,512,0.03242393203856665,8.037235675955525e-06,0 days 00:00:16.248918,2025-06-02 07:17:11.257280,2025-06-02 07:17:27.506198
28,COMPLETE,0.3211475616581999,1,128,0.15187402129173194,16,1024,0.04083655710965278,3.9027495463612094e-06,0 days 00:00:24.221725,2025-06-02 07:17:27.506615,2025-06-02 07:17:51.728340
29,COMPLETE,0.3494864072486665,1,128,0.23218085040807138,16,256,0.01959039677649058,3.0824307289560586e-05,0 days 00:00:16.211452,2025-06-02 07:17:51.728848,2025-06-02 07:18:07.940300
