number,state,values,params,params,params,params,params,params,params,duration,datetime_start,datetime_complete
,,0,K,batch_size,drop_rate,gcn_out_size,linear_size,lr,weight_decay,,,
0,COMPLETE,0.3106849444464123,2,256,0.22734551237024825,32,1024,0.0002228713200366103,0.00015289368382563278,0 days 00:00:40.561365,2025-06-02 07:08:27.394438,2025-06-02 07:09:07.955803
1,COMPLETE,0.3591659071812765,4,256,0.38732272085013786,64,1024,0.0017750602867230667,5.923881193177541e-05,0 days 00:00:17.730386,2025-06-02 07:09:07.956217,2025-06-02 07:09:25.686603
2,COMPLETE,0.3834340987414792,1,128,0.11127626912845126,32,512,0.0008119247950857128,6.038805637799374e-06,0 days 00:00:23.138572,2025-06-02 07:09:25.687067,2025-06-02 07:09:48.825639
3,COMPLETE,0.3399870993347951,4,256,0.18819584025697916,128,256,0.024736461504802788,0.0003391053307273284,0 days 00:00:21.717973,2025-06-02 07:09:48.826092,2025-06-02 07:10:10.544065
4,COMPLETE,0.36667063947061723,2,128,0.18679584720063208,32,512,0.0003287409756499805,0.0006576968082968284,0 days 00:00:15.529788,2025-06-02 07:10:10.544463,2025-06-02 07:10:26.074251
5,COMPLETE,0.37432521064313595,2,256,0.11748715688631048,128,512,0.0038739800080592334,9.010154469183752e-06,0 days 00:00:12.542658,2025-06-02 07:10:26.074616,2025-06-02 07:10:38.617274
6,COMPLETE,0.3160654662029178,3,256,0.2122903336922528,128,1024,0.004550132549793067,0.00018890486349749897,0 days 00:00:13.094114,2025-06-02 07:10:38.617663,2025-06-02 07:10:51.711777
7,COMPLETE,0.3562748375283998,3,128,0.3762199666044229,16,512,0.019979766658911147,0.00012128532781239778,0 days 00:00:14.453444,2025-06-02 07:10:51.712234,2025-06-02 07:11:06.165678
8,COMPLETE,0.37103110268286305,2,256,0.18347580774720096,16,512,0.00426321072117143,0.0009773721174674186,0 days 00:00:12.095257,2025-06-02 07:11:06.166081,2025-06-02 07:11:18.261338
9,COMPLETE,0.3216238866208193,3,256,0.16359614709853104,128,256,0.0006082652579274214,0.00034391511817159336,0 days 00:00:20.861596,2025-06-02 07:11:18.261688,2025-06-02 07:11:39.123284
10,COMPLETE,0.3739633459914543,1,128,0.2979171698537969,32,512,0.0007746851073220511,1.055522261981477e-06,0 days 00:00:23.303402,2025-06-02 07:11:39.123636,2025-06-02 07:12:02.427038
11,COMPLETE,0.34912751340894754,1,128,0.10662014201379834,64,512,0.0019318562720564566,7.741029481447271e-06,0 days 00:00:15.544236,2025-06-02 07:12:02.427419,2025-06-02 07:12:17.971655
12,COMPLETE,0.34990596399817187,1,128,0.13380498164607346,32,512,0.005231738983493164,1.2661208262076487e-05,0 days 00:00:24.545159,2025-06-02 07:12:17.972133,2025-06-02 07:12:42.517292
13,COMPLETE,0.33922533368065577,1,128,0.27916460429208556,128,512,0.009362581314204844,2.803261382921064e-06,0 days 00:00:14.285896,2025-06-02 07:12:42.517793,2025-06-02 07:12:56.803689
14,COMPLETE,0.3687938854347804,2,256,0.1059721570610537,128,512,0.0007576867934125549,1.7924309644521358e-05,0 days 00:00:18.423761,2025-06-02 07:12:56.804081,2025-06-02 07:13:15.227842
